T,TM,Tm,H,PP,VV,V,VM,PM 2.5
8.3,14.4,0.0,71.0,0.51,7.7,15.2,27.8,52.0
3.8,8.1,-1.2,80.0,9.91,11.3,12.0,29.4,27.0
4.3,10.4,-3.0,77.0,0.25,10.1,13.1,25.9,21.0
10.0,12.3,7.0,76.0,0.0,11.1,11.1,24.1,47.0
10.2,16.1,3.0,69.0,0.0,9.2,11.1,25.9,54.0
9.3,15.0,0.8,62.0,0.0,9.5,8.1,20.6,67.0
8.6,16.0,1.6,69.0,0.0,6.1,7.8,16.5,67.0
11.8,17.0,8.6,72.0,0.0,10.6,9.4,20.6,62.0
11.2,15.5,6.0,72.0,0.0,14.3,7.8,18.3,45.0
11.1,15.2,5.6,66.0,0.0,11.7,7.2,35.2,28.0
7.8,14.6,2.8,85.0,0.0,5.6,9.4,35.2,38.0
9.4,16.0,4.5,63.0,1.52,22.5,9.4,18.3,42.0
9.9,17.0,1.3,68.0,0.0,14.5,11.1,25.9,21.0
8.3,15.5,6.9,80.0,0.0,12.2,7.0,22.2,46.0
8.9,11.1,6.6,86.0,8.13,9.5,9.1,24.1,33.0
10.1,18.0,0.8,79.0,1.52,9.7,7.0,16.5,48.0
11.2,19.4,3.0,65.0,0.0,27.5,8.1,18.3,48.0
11.9,16.5,6.8,64.0,0.0,11.1,12.2,24.1,33.0
5.4,11.3,-0.6,50.0,0.0,14.5,18.5,42.4,24.0
4.8,12.0,-3.0,53.0,0.0,14.3,11.9,25.9,19.0
11.3,16.7,3.0,75.0,0.0,10.5,12.4,24.1,38.0
5.8,14.2,4.0,88.0,13.72,9.3,6.9,14.8,53.0
4.7,8.0,2.8,79.0,1.52,9.8,13.5,25.9,16.0
7.3,13.5,1.0,77.0,14.22,11.9,9.8,20.6,35.0
8.1,13.6,3.0,82.0,3.3,12.7,9.6,27.8,12.0
9.9,16.1,7.0,77.0,4.06,12.6,6.7,22.2,23.0
11.2,13.6,1.0,81.0,0.0,9.3,7.0,14.8,39.0
10.4,15.0,7.6,78.0,3.05,9.5,15.0,31.7,25.0
